obj_id,obj_lbl,obj_pose,pose_id,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,sensor_image
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",1,0.8863067997688627,-0.0256893951569254,-0.0271770697461182,0.0,0.0,-9.914354877582577,image_1.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",2,0.695469795055933,0.4228041616032312,-0.2638012552893293,0.0,0.0,-9.858224712403372,image_2.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",3,-0.5047054635843053,0.6830993183226812,-0.457483343458285,0.0,0.0,-9.837845664629327,image_3.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",4,0.26361847895113,0.2149122938404288,-0.8740665764389743,0.0,0.0,-9.697744693021576,image_4.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",5,0.1177148601846589,0.4001278412682982,-0.7372576510433387,0.0,0.0,-9.481685313855204,image_5.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",6,-0.0446118577797238,-0.2271593170131509,-0.3865713042060641,0.0,0.0,-9.443235697976816,image_6.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",7,0.4625109352651226,0.0942373287086624,-0.5226534082495019,0.0,0.0,-9.326266440387306,image_7.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",8,0.2651214204409178,-0.8853719519285193,-0.971561977078558,0.0,0.0,-9.26787544524033,image_8.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",9,0.1143131967684099,0.5532922513660699,-0.8448121205005779,0.0,0.0,-9.175617608057332,image_9.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",10,0.2110069746362972,-0.9139940217553756,-0.3816649241707773,0.0,0.0,-8.934415917932723,image_10.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",11,-0.2643281247203126,-0.5370856511829645,-0.2703422920577929,0.0,0.0,-8.631390988067755,image_11.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",12,-0.4554871768876842,-0.2258428174193536,-0.9938000307949452,0.0,0.0,-8.596268492192365,image_12.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",13,0.026522046309054,-0.4044109056099245,-0.949942019988433,0.0,0.0,-8.49403618823559,image_13.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",14,0.4085210908993453,0.4632215633196219,-0.2857877031305978,0.0,0.0,-8.38921530675955,image_14.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",15,0.8797229094588834,0.6528966697171454,-0.212007916245977,0.0,0.0,-8.32795798406426,image_15.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",16,0.7319048114156763,0.1492295382611059,-0.3305802773726434,0.0,0.0,-8.06287732181989,image_16.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",17,0.1494739817513395,0.5234196375184998,-0.3004921457924191,0.0,0.0,-7.880010479579226,image_17.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",18,-0.0602509271999478,0.7437761082217587,-0.6000472498674173,0.0,0.0,-7.869617144531631,image_18.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",19,0.7940343345933445,-0.4536224313550925,-0.5687075457963298,0.0,0.0,-7.819282290201686,image_19.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",20,0.0950460201953549,0.7756541877174485,-0.098861669275738,0.0,0.0,-7.009911395374751,image_20.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",21,-0.8329090318012218,-0.2353299869189049,-0.5897813138255089,0.0,0.0,-6.985950111061428,image_21.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",22,0.0519723799099605,-0.3385857030524628,-0.4724557284891938,0.0,0.0,-6.844118558466182,image_22.png
1,Q,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]",23,-0.7284528109206523,-0.6962053159456096,-0.6739898836237989,0.0,0.0,-6.83190890497208,image_23.png
