sensor_image,object_label,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,shear_1,shear_2,shear_3,shear_4,shear_5,shear_6
image_0.png,edge,3.951112725,0,2.266940049,-5.94911826,10.03933936,-44.99654486,-2.193900485,2.400975019,0,-2.531136125,0.398757159,4.35602492
image_1.png,edge,0.339552771,0,3.076406005,12.64057242,3.448676838,-44.9916271,-4.267767578,4.439797202,0,-4.849294682,-1.69175751,-1.495457992
image_2.png,edge,-1.486154811,0,4.477583973,-6.366142454,-3.630551948,-44.97884895,3.771950066,0.929628928,0,1.851841993,-2.323154143,-0.992931999
image_3.png,edge,-4.206253006,0,1.816262647,-0.501138223,-7.607194403,-44.97807829,-2.026702418,-0.621863684,0,-4.578146142,-4.930583096,4.229053522
image_4.png,edge,-3.434262393,0,4.604733933,13.09856066,-7.537330122,-44.97574071,2.176908434,-4.370554846,0,1.095871669,-4.216229948,-3.969427612
image_5.png,edge,-0.616931064,0,4.543313585,4.583885357,14.61832437,-44.97353797,1.8606013,2.249963109,0,1.261022267,-1.663554558,-1.016261
image_6.png,edge,-3.117996604,0,4.754715887,13.40048879,4.576912377,-44.96371123,2.069258217,0.628648879,0,-1.646416951,-0.653264873,1.107608574
image_7.png,edge,-1.763706716,0,3.300659879,-7.646101136,-9.021788872,-44.95398166,-4.829092113,-3.946720371,0,1.642000793,-2.626965842,-0.31220062
image_8.png,edge,0.699434176,0,3.003037057,-13.21441806,-6.583815885,-44.94572135,-4.988832194,-4.272403887,0,2.996364679,3.532012521,-3.530268022
image_9.png,edge,3.633902443,0,4.930860284,4.69915744,-0.254776168,-44.94368881,4.250600918,3.587966546,0,0.764043895,-3.190391247,4.81999277
image_10.png,edge,-0.774754821,0,3.962712151,-4.618369793,11.09435717,-44.93627308,-3.358253615,-4.80716561,0,4.533567771,-2.476465955,-0.036235036
image_11.png,edge,4.261503776,0,2.223981271,14.64900839,-4.692467398,-44.91187477,3.22419336,-2.473039086,0,-3.023287051,-0.798603933,2.168358479
image_12.png,edge,0.647579667,0,3.830244979,1.602201173,11.27026642,-44.90156407,-1.785776201,-1.258983393,0,-0.767390215,-2.692664312,3.576016123
image_13.png,edge,-1.41363725,0,3.189622117,-13.5097283,-4.440663788,-44.89462779,4.367125872,-2.040724696,0,0.833487975,2.84365674,-3.951010505
image_14.png,edge,0.433102424,0,1.710786797,-4.824748104,-8.194642413,-44.86574171,2.631560642,-1.343978098,0,4.963618689,-0.047656353,2.360455088
image_15.png,edge,4.951500667,0,3.34424581,-8.093434299,8.42134796,-44.86268315,4.389245357,0.528791502,0,0.292404277,2.989612176,0.383638742
image_16.png,edge,-1.896643164,0,3.533741586,-1.776911507,0.749346066,-44.86032946,-3.255209664,-4.225441277,0,-1.512527626,-3.552139936,4.006148712
image_17.png,edge,3.342301279,0,2.283598234,13.39343766,6.887854735,-44.85655453,4.590105366,-2.215751761,0,-2.130895684,-0.374617568,3.468555805
image_18.png,edge,-3.569620742,0,1.906492229,-11.62882335,5.50930042,-44.84043416,-3.310506706,-0.900237715,0,1.604962617,3.970178608,4.978853337
image_19.png,edge,-3.976174028,0,3.41708408,9.562994261,-4.833233921,-44.82016317,-1.642151613,1.48678627,0,4.615508471,-4.473857886,0.088285733
image_20.png,edge,-0.44080784,0,4.598698383,1.90128722,-7.844661367,-44.80059991,4.472872007,4.644507112,0,2.6537107,0.460027352,1.159103846
image_21.png,edge,1.388001762,0,1.599902579,-7.520754173,-2.404520514,-44.79486425,4.993228897,4.194574476,0,3.278013806,-0.038991317,2.459934328
image_22.png,edge,1.590861938,0,2.179197484,-13.41593224,-1.420375612,-44.78043289,4.971846994,-2.569185507,0,-4.989291527,-0.072117471,-4.16764049
image_23.png,edge,-3.639168424,0,3.953322446,-4.983402149,-9.776268928,-44.77825112,4.762832317,-3.903127911,0,-3.778515307,-4.001067832,-3.315152959
image_24.png,edge,3.193600299,0,1.956649019,-0.757954765,0.26310651,-44.77377703,-1.319006388,4.54840192,0,1.413231077,-3.934937021,-0.033395867
image_25.png,edge,-3.6130858,0,3.652888973,7.620885578,-9.49255955,-44.77265156,-4.21657935,-4.967793302,0,-1.686757807,1.432508752,-0.907078648
image_26.png,edge,-4.907865333,0,3.67973268,1.42694362,4.268883368,-44.77059188,1.212817159,-0.846325676,0,4.150959899,1.416680731,-4.032054197
