sensor_image,x,y,z,Rx,Ry,Rz,dx,dy,dz,dRx,dRy,dRz
image_1.png,4.586012891469075,0.0,1.6996576032348123,-6.679442393392835,-1.0579611321754792,-179.72110219112523,0.0,0.0,0.0,0.0,0.0,0.0
image_2.png,-4.810989317362363,0.0,1.428120966518427,0.6994817725725444,-11.983365714596893,-179.62415675732896,0.0,0.0,0.0,0.0,0.0,0.0
image_3.png,-4.289120993698804,0.0,1.182549195117883,-5.644256891668829,-3.325484664133975,-179.60428240757815,0.0,0.0,0.0,0.0,0.0,0.0
image_4.png,4.368792084893011,0.0,3.772965754014547,-4.50061140353036,-16.665840877618322,-179.5992012764756,0.0,0.0,0.0,0.0,0.0,0.0
image_5.png,4.53958198483072,0.0,3.770006995014287,-11.488451675859668,-12.775754683949335,-179.5614895665274,0.0,0.0,0.0,0.0,0.0,0.0
image_6.png,3.8770083572731977,0.0,3.463534343906834,-6.18386843347933,4.2158377311294695,-179.4861447939619,0.0,0.0,0.0,0.0,0.0,0.0
image_7.png,-4.05877563914483,0.0,1.579765176629124,-8.971511373501091,-3.776985223676425,-179.4814320643965,0.0,0.0,0.0,0.0,0.0,0.0
image_8.png,-3.0637670959750354,0.0,2.0681500527308185,12.281783261155155,5.7767704709001295,-179.36202866863752,0.0,0.0,0.0,0.0,0.0,0.0
image_9.png,1.0639321412792435,0.0,4.211402761643329,6.70861162927874,21.312549337647624,-179.27609411668027,0.0,0.0,0.0,0.0,0.0,0.0
image_10.png,-1.577586917953874,0.0,4.545121929106121,5.978321781737633,21.47629136475652,-179.25896194900977,0.0,0.0,0.0,0.0,0.0,0.0
image_11.png,0.0634291932380417,0.0,3.0631009998444854,20.56669488738809,13.342894568475812,-179.20207401526147,0.0,0.0,0.0,0.0,0.0,0.0
image_12.png,-0.1648187257254125,0.0,3.698286445147736,11.732767285572626,-22.07915341992353,-179.1055381177917,0.0,0.0,0.0,0.0,0.0,0.0
image_13.png,2.536800891297916,0.0,3.865168793056583,-14.20130036367705,-3.5277209261038283,-179.06963862632995,0.0,0.0,0.0,0.0,0.0,0.0
image_15.png,-2.682983735287955,0.0,2.5785305605493245,-2.098198306858845,-17.995386317667894,-179.00936620123315,0.0,0.0,0.0,0.0,0.0,0.0
image_16.png,2.1218540715136296,0.0,2.8818537592936484,4.406957114528757,1.5941191334199472,-178.99473114028908,0.0,0.0,0.0,0.0,0.0,0.0
image_17.png,2.988539235655333,0.0,4.295024694065329,7.069709930607341,0.0442963546515215,-178.93945400905227,0.0,0.0,0.0,0.0,0.0,0.0
image_18.png,0.4260102012024056,0.0,1.4247361450066398,-13.146806002953529,19.315774975447457,-178.93086589180697,0.0,0.0,0.0,0.0,0.0,0.0
image_19.png,-4.1287070029845925,0.0,2.3309443358220228,11.718261170943384,-9.092396886939564,-178.9230557026104,0.0,0.0,0.0,0.0,0.0,0.0
image_20.png,-4.05894995921599,0.0,3.892457614066173,-21.03062671620669,12.798798356697317,-178.7082215985226,0.0,0.0,0.0,0.0,0.0,0.0
image_23.png,1.148152219392081,0.0,4.291944030028825,15.613828861585876,-5.283257911200435,-178.59919770939123,0.0,0.0,0.0,0.0,0.0,0.0
image_24.png,2.290155103364921,0.0,1.6136878376810988,8.841092008156863,-8.01906290970957,-178.56374332593046,0.0,0.0,0.0,0.0,0.0,0.0
image_27.png,-1.320825121821266,0.0,2.27871902577986,17.803900665329017,7.636644595432954,-178.24638438846213,0.0,0.0,0.0,0.0,0.0,0.0
image_28.png,-1.4089349234669992,0.0,4.818982653047434,-20.49789726558832,-1.928001422815076,-178.22281923962885,0.0,0.0,0.0,0.0,0.0,0.0
image_29.png,4.58740923056593,0.0,3.0829197937621955,-7.27447086676877,-19.48925611585304,-178.1766040863975,0.0,0.0,0.0,0.0,0.0,0.0
image_31.png,-0.761449514418203,0.0,1.6900828138406174,-0.5023471603678265,-15.789686642875331,-178.0752617016264,0.0,0.0,0.0,0.0,0.0,0.0
image_32.png,-2.597377988487275,0.0,3.126286770057107,21.874998193776577,3.044151762430712,-178.0554631875991,0.0,0.0,0.0,0.0,0.0,0.0
image_34.png,-1.987108123572772,0.0,4.353397983386459,-18.011653685014537,17.182272931070944,-178.00855508270763,0.0,0.0,0.0,0.0,0.0,0.0
image_35.png,1.277347561952844,0.0,3.243152925356535,24.09618938145655,-5.131089397815961,-177.9478317063593,0.0,0.0,0.0,0.0,0.0,0.0
image_36.png,-3.126390985736772,0.0,2.338190704438749,15.303334380710492,-1.7985780807528255,-177.94774073093745,0.0,0.0,0.0,0.0,0.0,0.0
image_37.png,-0.3890599969664263,0.0,1.9633691690468007,6.331498213645332,-1.4902459350964683,-177.94443934397776,0.0,0.0,0.0,0.0,0.0,0.0
image_39.png,-4.63308582130587,0.0,3.5268960417404784,-24.15376558058722,4.9040729652959465,-177.79729708603938,0.0,0.0,0.0,0.0,0.0,0.0
image_40.png,2.9915856421672355,0.0,4.706403188238697,6.015786045964414,21.80091682665349,-177.72238744445633,0.0,0.0,0.0,0.0,0.0,0.0
image_42.png,-2.86228714575138,0.0,4.223372045430985,-12.700266384041017,1.1190090920888365,-177.68845643273772,0.0,0.0,0.0,0.0,0.0,0.0
image_43.png,-4.235132309697146,0.0,3.0426089855165683,-8.502685859472438,20.548680667887904,-177.64732676459363,0.0,0.0,0.0,0.0,0.0,0.0
image_44.png,2.7827616729644378,0.0,2.232277233361044,5.277053642176015,4.181544418284657,-177.59774816078166,0.0,0.0,0.0,0.0,0.0,0.0
image_45.png,-3.604948062131703,0.0,4.497719594969523,-18.51134610528548,16.07966038588375,-177.56410654167283,0.0,0.0,0.0,0.0,0.0,0.0
