sensor_image,object_label,pose_x,pose_y,pose_z,pose_Rx,pose_Ry,pose_Rz,shear_x,shear_y,shear_z,shear_Rx,shear_Ry,shear_Rz,object_x,object_y,object_z,object_Rx,object_Ry,object_Rz
image_1.png,surface,0,0,3.993071925,22.16553631,-1.192802091,0,-1.662261255,-1.826190266,0,0,0,-3.025665907,-50,0,0,0,0,0
image_2.png,surface,0,0,1.720810829,0.273023566,13.20903865,0,3.60412213,1.839609331,0,0,0,-1.725143133,-50,0,0,0,0,0
image_3.png,surface,0,0,2.556092578,-3.708048604,-1.833411484,0,-0.517306246,-2.918915535,0,0,0,0.565650995,-50,0,0,0,0,0
image_4.png,surface,0,0,1.150400726,8.216746712,-4.727021791,0,-3.867414522,0.817079372,0,0,0,-1.23004537,-50,0,0,0,0,0
image_5.png,surface,0,0,1.047150957,2.076862503,19.98427596,0,-0.047766433,-0.920946204,0,0,0,-1.459371453,-50,0,0,0,0,0
image_6.png,surface,0,0,4.985071487,9.316909952,-19.37916694,0,1.503223391,-1.968626794,0,0,0,2.87998001,-50,0,0,0,0,0
image_7.png,surface,0,0,2.952786632,4.034592812,-23.20334448,0,-2.358280455,0.137973074,0,0,0,-0.171145548,-50,0,0,0,0,0
image_8.png,surface,0,0,2.488099056,16.30271756,8.552840592,0,0.896752496,1.047341874,0,0,0,2.294155788,-50,0,0,0,0,0
image_9.png,surface,0,0,1.784688378,-19.81614966,8.522531389,0,3.900075577,2.38754979,0,0,0,2.515974413,-50,0,0,0,0,0
image_10.png,surface,0,0,4.22876898,10.44138187,20.96899327,0,-4.586657056,1.096303102,0,0,0,4.525754056,-50,0,0,0,0,0
image_11.png,surface,0,0,3.823010878,-11.59827688,11.29603515,0,2.117153188,-0.2222264,0,0,0,-3.979716545,-50,0,0,0,0,0
image_12.png,surface,0,0,1.006224792,-22.97210802,2.915213658,0,4.16767975,-1.47537064,0,0,0,4.206293429,-50,0,0,0,0,0
image_13.png,surface,0,0,4.084906692,-5.261258259,18.11761486,0,2.919572396,-2.512359187,0,0,0,-2.659622394,-50,0,0,0,0,0
image_15.png,surface,0,0,4.794530721,5.916195143,7.141591411,0,0.415320322,3.050356209,0,0,0,0.689397983,-50,0,0,0,0,0
image_16.png,surface,0,0,2.330944336,11.71826117,-9.092396887,0,2.484160996,4.185425205,0,0,0,2.497838172,-50,0,0,0,0,0
