markers_file,num_markers,object_label,pose_x,pose_y,pose_z,pose_Rx,pose_Ry,pose_Rz,shear_x,shear_y,shear_z,shear_Rx,shear_Ry,shear_Rz
markers_0.npy,127,edge,4.309711317,0,2.285163288,0,0,-44.99900303,-1.18008464,-0.931505583,0,-4.7873814,-2.766983927,2.099893207
markers_1.npy,127,edge,-4.262663924,0,2.183286107,0,0,-44.99588121,-4.858037318,-0.918946675,0,4.040930795,-2.629794407,4.506366486
markers_2.npy,128,edge,0.308083387,0,3.984531092,0,0,-44.98354465,1.10295473,-1.495410388,0,3.891597906,-4.079091075,-2.092204633
markers_3.npy,127,edge,-2.886672873,0,3.620559046,0,0,-44.98338294,-3.508989328,-4.141880865,0,-3.439510141,0.169202666,-4.688371268
markers_4.npy,127,edge,2.201692214,0,2.717429194,0,0,-44.98145366,1.339473601,3.54236701,0,1.199156619,0.277628488,-4.840404754
markers_5.npy,127,edge,-2.348727769,0,2.297160905,0,0,-44.97692751,2.216425108,3.28873199,0,-4.309528718,3.495257088,1.438489455
markers_6.npy,127,edge,1.370727191,0,2.112909579,0,0,-44.97685156,0.423974744,-1.643730572,0,0.147419247,-1.02755129,-0.791531807
markers_7.npy,127,edge,0.651089813,0,2.731980032,0,0,-44.97639274,2.335716457,-2.65295564,0,4.17732648,1.896382527,2.283621972
markers_8.npy,127,edge,-0.973077039,0,3.565500882,0,0,-44.93882467,-3.150948441,-0.358778784,0,3.535849584,-1.607992834,-0.386217987
markers_9.npy,127,edge,-2.249519896,0,2.224627656,0,0,-44.91160549,2.165205649,4.394668966,0,4.415075779,4.411982073,4.503083037
markers_10.npy,127,edge,-1.559182156,0,3.481894185,0,0,-44.91118487,-3.917747658,1.999516856,0,-4.367610568,3.908796675,-0.093637226
markers_11.npy,127,edge,1.621914948,0,2.473620091,0,0,-44.9077771,-0.560797053,-0.497267254,0,-3.907782816,0.204108765,4.404682999
markers_12.npy,127,edge,3.838911813,0,2.981651575,0,0,-44.88843791,-3.070697133,-0.525338207,0,-1.021853849,2.757250324,4.836162235
markers_13.npy,127,edge,-1.59611731,0,3.751070305,0,0,-44.87772818,-3.692644634,-4.673040611,0,2.53277336,3.963404871,-3.441901831
markers_14.npy,127,edge,2.682519806,0,3.60549323,0,0,-44.87252858,-3.118624355,-0.470754776,0,4.502524779,-4.50580907,1.218829391
markers_15.npy,127,edge,0.188776913,0,2.724573906,0,0,-44.86998237,-2.852320217,0.234325597,0,-4.371581315,-2.010993816,2.535153774
markers_16.npy,127,edge,-0.492100052,0,2.457479668,0,0,-44.86803207,-3.330629348,-1.144850013,0,-3.599652164,3.522830021,1.313971929
markers_17.npy,127,edge,0.454576809,0,2.677656692,0,0,-44.86131645,-1.223658966,-2.833557087,0,0.615002641,4.843044293,4.614750086
markers_18.npy,127,edge,-4.84227653,0,2.32938247,0,0,-44.85240244,1.922979584,3.462083997,0,0.346350917,-3.380849081,-4.764099209
markers_19.npy,127,edge,-0.806450944,0,2.674669816,0,0,-44.84774277,-2.153505179,4.037332543,0,3.971254706,-4.77530354,-4.954890387
markers_20.npy,127,edge,3.20746321,0,3.243542034,0,0,-44.84600621,-1.246525581,2.844985089,0,-4.233263951,0.485475683,-1.025737756
markers_21.npy,127,edge,2.425624337,0,3.395808399,0,0,-44.84200235,3.698766331,-1.0534902,0,-4.62391516,0.3665614,-0.873860596
markers_22.npy,127,edge,1.7143864,0,3.524633117,0,0,-44.82381269,4.628037954,-1.886041809,0,-4.987509794,2.375437506,0.029050346
markers_23.npy,127,edge,1.206823294,0,2.723920489,0,0,-44.81356371,-1.742250999,-1.708530117,0,-3.166625401,-1.429731357,0.679761546
markers_24.npy,127,edge,-3.084694096,0,2.803440653,0,0,-44.80909985,1.818505233,0.885539866,0,-0.637790363,3.812578539,2.352555001
markers_25.npy,127,edge,3.084836995,0,2.576021845,0,0,-44.78595808,-2.582611075,1.391355831,0,-4.03259803,0.413488093,0.943162622
markers_26.npy,128,edge,-2.299233957,0,3.85656167,0,0,-44.78368373,-1.633940113,-4.671853955,0,3.512042128,-2.862840549,-1.793993138
markers_27.npy,127,edge,3.585939693,0,3.725967492,0,0,-44.767102,-2.161791264,1.560272565,0,4.806019658,-1.396807208,-3.826492105
markers_28.npy,127,edge,1.190131449,0,2.826796655,0,0,-44.76329869,0.392008352,-4.478201594,0,2.346288296,-0.736423884,-0.052125412
markers_29.npy,127,edge,-3.170485387,0,2.188957147,0,0,-44.75901343,-4.475598423,-2.684799294,0,-1.531890254,4.685702559,-3.503572394
markers_30.npy,127,edge,-1.829818431,0,2.217336647,0,0,-44.75232905,-4.515279963,-2.17003528,0,-0.33239127,-0.601971413,-3.250507256
markers_31.npy,127,edge,3.813907905,0,3.449314594,0,0,-44.75145192,2.098103702,-4.402316579,0,-0.435819929,2.821662131,-3.149023202
markers_32.npy,127,edge,-2.553652937,0,2.303031326,0,0,-44.72047902,3.299916349,-3.566885782,0,1.183218122,-4.787456916,-3.480209057
