sensor_image,object_label,pose_x,pose_y,pose_z,pose_Rx,pose_Ry,pose_Rz,shear_x,shear_y,shear_z,shear_Rx,shear_Ry,shear_Rz
image_0.png,edge,4.309711317,0,2.285163288,0,0,-44.99900303,-1.18008464,-0.931505583,0,-4.7873814,-2.766983927,2.099893207
image_1.png,edge,-4.262663924,0,2.183286107,0,0,-44.99588121,-4.858037318,-0.918946675,0,4.040930795,-2.629794407,4.506366486
image_2.png,edge,0.308083387,0,3.984531092,0,0,-44.98354465,1.10295473,-1.495410388,0,3.891597906,-4.079091075,-2.092204633
image_3.png,edge,-2.886672873,0,3.620559046,0,0,-44.98338294,-3.508989328,-4.141880865,0,-3.439510141,0.169202666,-4.688371268
image_4.png,edge,2.201692214,0,2.717429194,0,0,-44.98145366,1.339473601,3.54236701,0,1.199156619,0.277628488,-4.840404754
image_5.png,edge,-2.348727769,0,2.297160905,0,0,-44.97692751,2.216425108,3.28873199,0,-4.309528718,3.495257088,1.438489455
image_6.png,edge,1.370727191,0,2.112909579,0,0,-44.97685156,0.423974744,-1.643730572,0,0.147419247,-1.02755129,-0.791531807
image_7.png,edge,0.651089813,0,2.731980032,0,0,-44.97639274,2.335716457,-2.65295564,0,4.17732648,1.896382527,2.283621972
image_8.png,edge,-0.973077039,0,3.565500882,0,0,-44.93882467,-3.150948441,-0.358778784,0,3.535849584,-1.607992834,-0.386217987
image_9.png,edge,-2.249519896,0,2.224627656,0,0,-44.91160549,2.165205649,4.394668966,0,4.415075779,4.411982073,4.503083037
image_10.png,edge,-1.559182156,0,3.481894185,0,0,-44.91118487,-3.917747658,1.999516856,0,-4.367610568,3.908796675,-0.093637226
image_11.png,edge,1.621914948,0,2.473620091,0,0,-44.9077771,-0.560797053,-0.497267254,0,-3.907782816,0.204108765,4.404682999
image_12.png,edge,3.838911813,0,2.981651575,0,0,-44.88843791,-3.070697133,-0.525338207,0,-1.021853849,2.757250324,4.836162235
image_13.png,edge,-1.59611731,0,3.751070305,0,0,-44.87772818,-3.692644634,-4.673040611,0,2.53277336,3.963404871,-3.441901831
image_14.png,edge,2.682519806,0,3.60549323,0,0,-44.87252858,-3.118624355,-0.470754776,0,4.502524779,-4.50580907,1.218829391
image_15.png,edge,0.188776913,0,2.724573906,0,0,-44.86998237,-2.852320217,0.234325597,0,-4.371581315,-2.010993816,2.535153774
image_16.png,edge,-0.492100052,0,2.457479668,0,0,-44.86803207,-3.330629348,-1.144850013,0,-3.599652164,3.522830021,1.313971929
image_17.png,edge,0.454576809,0,2.677656692,0,0,-44.86131645,-1.223658966,-2.833557087,0,0.615002641,4.843044293,4.614750086
image_18.png,edge,-4.84227653,0,2.32938247,0,0,-44.85240244,1.922979584,3.462083997,0,0.346350917,-3.380849081,-4.764099209
image_19.png,edge,-0.806450944,0,2.674669816,0,0,-44.84774277,-2.153505179,4.037332543,0,3.971254706,-4.77530354,-4.954890387
image_20.png,edge,3.20746321,0,3.243542034,0,0,-44.84600621,-1.246525581,2.844985089,0,-4.233263951,0.485475683,-1.025737756
image_21.png,edge,2.425624337,0,3.395808399,0,0,-44.84200235,3.698766331,-1.0534902,0,-4.62391516,0.3665614,-0.873860596
image_22.png,edge,1.7143864,0,3.524633117,0,0,-44.82381269,4.628037954,-1.886041809,0,-4.987509794,2.375437506,0.029050346
image_23.png,edge,1.206823294,0,2.723920489,0,0,-44.81356371,-1.742250999,-1.708530117,0,-3.166625401,-1.429731357,0.679761546
image_24.png,edge,-3.084694096,0,2.803440653,0,0,-44.80909985,1.818505233,0.885539866,0,-0.637790363,3.812578539,2.352555001
image_25.png,edge,3.084836995,0,2.576021845,0,0,-44.78595808,-2.582611075,1.391355831,0,-4.03259803,0.413488093,0.943162622
image_26.png,edge,-2.299233957,0,3.85656167,0,0,-44.78368373,-1.633940113,-4.671853955,0,3.512042128,-2.862840549,-1.793993138
image_27.png,edge,3.585939693,0,3.725967492,0,0,-44.767102,-2.161791264,1.560272565,0,4.806019658,-1.396807208,-3.826492105
image_28.png,edge,1.190131449,0,2.826796655,0,0,-44.76329869,0.392008352,-4.478201594,0,2.346288296,-0.736423884,-0.052125412
image_29.png,edge,-3.170485387,0,2.188957147,0,0,-44.75901343,-4.475598423,-2.684799294,0,-1.531890254,4.685702559,-3.503572394
image_30.png,edge,-1.829818431,0,2.217336647,0,0,-44.75232905,-4.515279963,-2.17003528,0,-0.33239127,-0.601971413,-3.250507256
image_31.png,edge,3.813907905,0,3.449314594,0,0,-44.75145192,2.098103702,-4.402316579,0,-0.435819929,2.821662131,-3.149023202
image_32.png,edge,-2.553652937,0,2.303031326,0,0,-44.72047902,3.299916349,-3.566885782,0,1.183218122,-4.787456916,-3.480209057
image_33.png,edge,-4.43747575,0,2.134754958,0,0,-44.70751435,-1.461757437,-4.37174464,0,-0.527407422,3.711314483,-2.635481945
image_34.png,edge,-4.942436484,0,3.40424073,0,0,-44.7048152,1.487946473,0.211225227,0,0.56989132,0.719289993,0.652673514
image_35.png,edge,-2.510264063,0,2.031527857,0,0,-44.70317182,2.571964935,1.751809765,0,-0.928331391,2.392023716,0.447520233
image_36.png,edge,-2.296829692,0,2.136756727,0,0,-44.70038858,-1.505597717,-0.613849848,0,-4.623069617,-1.943593636,-4.615947237
image_37.png,edge,-4.409519347,0,3.977967067,0,0,-44.70008707,-0.514629506,-2.754189054,0,-0.400927376,-2.715706101,-1.131968269
image_38.png,edge,4.453018261,0,3.020084171,0,0,-44.69095374,-4.240073698,-2.949119575,0,-2.753070793,4.845528294,0.086110814
image_39.png,edge,-2.387176592,0,3.87995494,0,0,-44.68255415,-4.416592194,-2.182678335,0,-0.23736079,-2.982711692,-1.406658888
image_40.png,edge,-0.61952241,0,2.953866194,0,0,-44.68208829,-2.450361682,3.299767293,0,3.866359154,-0.973671462,0.425563996
image_41.png,edge,-2.361041374,0,3.900220041,0,0,-44.67163408,3.370501099,-3.787041564,0,-0.724386822,1.522271,1.370358864
image_42.png,edge,-0.847261735,0,2.548399492,0,0,-44.66693864,-2.083880976,0.421363216,0,-2.18706879,4.621663912,1.511408476
image_43.png,edge,2.740814844,0,2.903054303,0,0,-44.6597819,1.216901302,-0.31554109,0,-1.118758681,-0.540571788,0.017754188
image_44.png,edge,3.741741965,0,2.530691192,0,0,-44.65770255,-2.637388731,2.614692895,0,4.66612572,3.102677827,1.062312997
image_45.png,edge,-0.399841533,0,2.871812934,0,0,-44.65659646,-3.320921579,4.407662852,0,3.703338806,1.266366361,-0.86797574
image_46.png,edge,1.133100695,0,3.802995439,0,0,-44.65170646,-2.941563725,2.611778284,0,2.199245883,-1.809103359,4.364836538
image_47.png,edge,-1.544526036,0,2.066902811,0,0,-44.63261781,-3.832205212,-0.902044707,0,1.540983467,3.251217342,0.262374985
image_48.png,edge,-4.294670189,0,3.881260155,0,0,-44.63135292,3.219640369,3.61085958,0,4.088435385,0.942463504,-0.130003771
image_49.png,edge,0.830138144,0,3.738120908,0,0,-44.61728444,0.072642005,-0.851884673,0,2.326033701,3.785709252,3.874593582
image_50.png,edge,-1.058449887,0,2.329609595,0,0,-44.61351943,2.781114865,-3.710414128,0,-2.440250049,-4.727791168,-2.303075704
image_51.png,edge,-3.249793471,0,2.690181557,0,0,-44.60698356,0.090014561,1.777819616,0,3.865080525,-4.837831701,3.920798725
image_52.png,edge,-4.078230121,0,2.067767351,0,0,-44.59189687,3.644147752,2.499867167,0,-4.739801695,4.676561503,-2.418081208
image_53.png,edge,-3.707746847,0,3.952991167,0,0,-44.58655927,-3.064606968,-4.349048949,0,3.36404652,3.662637656,-0.03718589
image_54.png,edge,-2.468020149,0,3.49525636,0,0,-44.58219955,4.306185993,1.79708355,0,3.85388173,1.128229168,3.284463043
image_55.png,edge,-2.347244245,0,3.591124586,0,0,-44.57913458,-1.504617002,-4.220552516,0,-3.348231051,2.450383491,-0.35179721
image_56.png,edge,4.686644109,0,2.08721186,0,0,-44.5742829,-4.939609928,-4.942337347,0,-1.498516352,-0.988087424,-4.565043614
image_57.png,edge,2.17077116,0,2.97613425,0,0,-44.56746658,1.604575168,-2.953416115,0,-3.044251878,-2.22516236,-1.958631645
image_58.png,edge,-1.346603518,0,3.854675923,0,0,-44.56284622,-3.143722593,3.168479498,0,0.814757932,0.902060119,0.431963072
image_59.png,edge,-4.096141126,0,3.807280069,0,0,-44.55200318,3.093262199,3.864570346,0,2.838948572,-3.846644124,1.964103243
image_60.png,edge,-0.037891864,0,2.708477419,0,0,-44.5416996,2.112369507,-0.532552063,0,2.739863381,-1.204433461,-4.576559317
image_61.png,edge,-0.111113511,0,3.482229299,0,0,-44.53407283,-1.519073804,2.309676718,0,0.525636824,-4.101697825,1.829356198
image_62.png,edge,-0.896129019,0,2.983960548,0,0,-44.52188327,-1.590144795,-0.368447423,0,-3.307641517,-4.478058693,3.08162767
