sensor_image,object_label,pose_x,pose_y,pose_z,pose_Rx,pose_Ry,pose_Rz,shear_x,shear_y,shear_z,shear_Rx,shear_Ry,shear_Rz,object_x,object_y,object_z,object_Rx,object_Ry,object_Rz,Unnamed: 20,obj_pose
image_1.png,Q,0.8863068,-0.025689395,-0.02717707,0,0,-9.914354878,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_2.png,Q,0.695469795,0.422804162,-0.263801255,0,0,-9.858224712,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_3.png,Q,-0.504705464,0.683099318,-0.457483343,0,0,-9.837845665,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_4.png,Q,0.263618479,0.214912294,-0.874066576,0,0,-9.697744693,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_5.png,Q,0.11771486,0.400127841,-0.737257651,0,0,-9.481685314,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_6.png,Q,-0.044611858,-0.227159317,-0.386571304,0,0,-9.443235698,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_7.png,Q,0.462510935,0.094237329,-0.522653408,0,0,-9.32626644,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_8.png,Q,0.26512142,-0.885371952,-0.971561977,0,0,-9.267875445,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_9.png,Q,0.114313197,0.553292251,-0.844812121,0,0,-9.175617608,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_10.png,Q,0.211006975,-0.913994022,-0.381664924,0,0,-8.934415918,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_11.png,Q,-0.264328125,-0.537085651,-0.270342292,0,0,-8.631390988,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_12.png,Q,-0.455487177,-0.225842817,-0.993800031,0,0,-8.596268492,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_13.png,Q,0.026522046,-0.404410906,-0.94994202,0,0,-8.494036188,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_14.png,Q,0.408521091,0.463221563,-0.285787703,0,0,-8.389215307,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_15.png,Q,0.879722909,0.65289667,-0.212007916,0,0,-8.327957984,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_16.png,Q,0.731904811,0.149229538,-0.330580277,0,0,-8.062877322,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_17.png,Q,0.149473982,0.523419638,-0.300492146,0,0,-7.88001048,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_18.png,Q,-0.060250927,0.743776108,-0.60004725,0,0,-7.869617145,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_19.png,Q,0.794034335,-0.453622431,-0.568707546,0,0,-7.81928229,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_20.png,Q,0.09504602,0.775654188,-0.098861669,0,0,-7.009911395,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_21.png,Q,-0.832909032,-0.235329987,-0.589781314,0,0,-6.985950111,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_22.png,Q,0.05197238,-0.338585703,-0.472455728,0,0,-6.844118558,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_23.png,Q,-0.728452811,-0.696205316,-0.673989884,0,0,-6.831908905,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_24.png,Q,-0.316048407,-0.493900767,-0.134960597,0,0,-6.764639772,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_25.png,Q,-0.937042231,-0.636733598,-0.348338785,0,0,-6.433537139,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_26.png,Q,0.356307816,-0.198728412,-0.92355585,0,0,-5.897668602,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_27.png,Q,-0.843169761,-0.018589042,-0.431938636,0,0,-5.860003207,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_28.png,Q,-0.710614331,-0.753725555,-0.433381823,0,0,-5.674199904,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_29.png,Q,-0.113088429,0.83776178,-0.979709065,0,0,-5.667616836,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
image_30.png,Q,-0.932445391,0.500836591,-0.907181708,0,0,-5.369097045,0,0,0,0,0,0,-17.5,105.0,0,0,0,0,,"[0.0, 0.0, 0.0, 0.0, 0.0, -145.0]"
